x,y,z
230.0,0.0,50
229.76344103943433,3.7599970069291277,50
229.05749483385893,7.460696614945644,50
227.89329457664755,11.043736580540337,50
226.2892004013159,14.45261022305146,50
224.27050983124843,17.633557568774194,50
221.86905882264236,20.53641317786066,50
219.1227196924607,23.115397283273673,50
216.0748038493699,25.329837765060454,50
212.77337874695218,27.144811573980586,50
209.27050983124843,28.531695488854606,50
205.62143943757175,29.468617521860658,50
201.8837155858794,29.940801852848146,50
198.1162844141206,29.940801852848146,50
194.37856056242828,29.46861752186066,50
190.7294901687516,28.53169548885461,50
187.22662125304782,27.144811573980583,50
183.9251961506301,25.32983776506045,50
180.8772803075393,23.115397283273676,50
178.13094117735767,20.536413177860666,50
175.72949016875157,17.633557568774197,50
173.7107995986841,14.452610223051456,50
172.10670542335245,11.043736580540344,50
170.94250516614107,7.4606966149456575,50
170.23655896056567,3.759997006929136,50
170.0,3.67394039744206e-15,50
170.23655896056567,-3.7599970069291295,50
170.94250516614107,-7.460696614945637,50
172.10670542335245,-11.043736580540337,50
173.7107995986841,-14.452610223051462,50
175.72949016875157,-17.63355756877418,50
178.13094117735764,-20.536413177860652,50
180.8772803075393,-23.11539728327368,50
183.92519615063011,-25.32983776506046,50
187.22662125304782,-27.144811573980594,50
190.72949016875157,-28.531695488854606,50
194.37856056242825,-29.46861752186066,50
198.1162844141206,-29.940801852848146,50
201.88371558587937,-29.940801852848146,50
205.62143943757172,-29.46861752186066,50
209.2705098312484,-28.53169548885461,50
212.77337874695215,-27.144811573980597,50
216.0748038493699,-25.32983776506045,50
219.1227196924607,-23.115397283273687,50
221.86905882264233,-20.53641317786067,50
224.27050983124843,-17.633557568774197,50
226.2892004013159,-14.452610223051483,50
227.89329457664755,-11.043736580540335,50
229.05749483385893,-7.46069661494566,50
229.76344103943433,-3.75999700692914,50
